"hpl_id";"linje";"lan_kod";"lan";"kommun_kod";"kommun";"tatort_pop";"tatort_kod";"tatort";"y_wgs84";"x_wgs84";"x_sweref99tm";"y_sweref99tm"
105005;"579";"01";"Stockholms";"0139";"Upplands-Bro";NA;NA;NA;59,5830195943738;17,5762259043448;645476,436963056;6607795,65761251
105112;"SL-pendeln Bålst";"03";"Uppsala";"0305";"Håbo";NA;NA;NA;59,5684548514401;17,5333465306242;643117,715177231;6606081,35464663
191001;"579";"01";"Stockholms";"0139";"Upplands-Bro";NA;NA;NA;59,6259518588046;17,6027514083254;646786,434039964;6612632,62828203
191002;"183";"01";"Stockholms";"0191";"Sigtuna";9592;"T0300";"Sigtuna";59,6223886102544;17,698997312669;652228,581472964;6612452,77561811
191003;"579, 801, 880";"01";"Stockholms";"0191";"Sigtuna";NA;NA;NA;59,6544888633945;17,9557739789469;666546,107015025;6616641,99188863
191004;"183";"01";"Stockholms";"0191";"Sigtuna";NA;NA;NA;59,623370862144;17,6943909895764;651964,431145375;6612551,54808577
191006;"183";"01";"Stockholms";"0191";"Sigtuna";9592;"T0300";"Sigtuna";59,6220730490829;17,6859878394415;651496,507301857;6612387,89440053
191007;"183";"01";"Stockholms";"0191";"Sigtuna";9592;"T0300";"Sigtuna";59,6165080518433;17,6933678142966;651937,743690536;6611785,36785651
191008;"183";"01";"Stockholms";"0191";"Sigtuna";9592;"T0300";"Sigtuna";59,6176329478821;17,6894435426648;651711,374362148;6611901,5961569
191009;"183";"01";"Stockholms";"0191";"Sigtuna";9592;"T0300";"Sigtuna";59,6151044460723;17,6979318157997;652201,46489703;6611639,59876908
191010;"183";"01";"Stockholms";"0191";"Sigtuna";9592;"T0300";"Sigtuna";59,6145363128309;17,7111190778833;652947,725195253;6611606,67003172
191011;"183";"01";"Stockholms";"0191";"Sigtuna";9592;"T0300";"Sigtuna";59,6149859380668;17,7141570042939;653117,000638258;6611663,71563677
191015;"579";"01";"Stockholms";"0191";"Sigtuna";NA;NA;NA;59,6460254140958;17,6217914001719;647771,58468238;6614909,15783722
191016;"579";"01";"Stockholms";"0139";"Upplands-Bro";NA;NA;NA;59,641568929325;17,6090127467852;647071,091802438;6614384,747606
191017;"579";"01";"Stockholms";"0139";"Upplands-Bro";NA;NA;NA;59,6359486664589;17,6063885660559;646947,786872596;6613753,37159124
191018;"579";"01";"Stockholms";"0139";"Upplands-Bro";NA;NA;NA;59,6306763348602;17,5993341246075;646573,178601564;6613150,9370631
191019;"579";"01";"Stockholms";"0139";"Upplands-Bro";NA;NA;NA;59,5933022647055;17,6083050375785;647242,337151452;6609010,86626297
191025;"579";"01";"Stockholms";"0191";"Sigtuna";NA;NA;NA;59,6276027387879;17,7735499161029;656407,651517859;6613206,40645258
